22.399,1991, Jan Average, Dominican Republic, DOM
22.7337,1991, Feb Average, Dominican Republic, DOM
23.3855,1991, Mar Average, Dominican Republic, DOM
24.231,1991, Apr Average, Dominican Republic, DOM
24.7588,1991, May Average, Dominican Republic, DOM
25.2259,1991, Jun Average, Dominican Republic, DOM
25.9023,1991, Jul Average, Dominican Republic, DOM
25.5679,1991, Aug Average, Dominican Republic, DOM
25.5797,1991, Sep Average, Dominican Republic, DOM
25.2428,1991, Oct Average, Dominican Republic, DOM
23.9206,1991, Nov Average, Dominican Republic, DOM
22.5151,1991, Dec Average, Dominican Republic, DOM
22.251,1992, Jan Average, Dominican Republic, DOM
22.9558,1992, Feb Average, Dominican Republic, DOM
23.7539,1992, Mar Average, Dominican Republic, DOM
24.6505,1992, Apr Average, Dominican Republic, DOM
24.1968,1992, May Average, Dominican Republic, DOM
25.5832,1992, Jun Average, Dominican Republic, DOM
25.5646,1992, Jul Average, Dominican Republic, DOM
26.0409,1992, Aug Average, Dominican Republic, DOM
25.5515,1992, Sep Average, Dominican Republic, DOM
25.1844,1992, Oct Average, Dominican Republic, DOM
24.2527,1992, Nov Average, Dominican Republic, DOM
23.1549,1992, Dec Average, Dominican Republic, DOM
22.5126,1993, Jan Average, Dominican Republic, DOM
22.6568,1993, Feb Average, Dominican Republic, DOM
23.004,1993, Mar Average, Dominican Republic, DOM
24.379,1993, Apr Average, Dominican Republic, DOM
24.9021,1993, May Average, Dominican Republic, DOM
25.4372,1993, Jun Average, Dominican Republic, DOM
25.546,1993, Jul Average, Dominican Republic, DOM
25.7767,1993, Aug Average, Dominican Republic, DOM
25.3698,1993, Sep Average, Dominican Republic, DOM
25.5086,1993, Oct Average, Dominican Republic, DOM
24.0887,1993, Nov Average, Dominican Republic, DOM
23.1951,1993, Dec Average, Dominican Republic, DOM
22.3274,1994, Jan Average, Dominican Republic, DOM
22.8245,1994, Feb Average, Dominican Republic, DOM
23.6741,1994, Mar Average, Dominican Republic, DOM
24.4843,1994, Apr Average, Dominican Republic, DOM
25.2757,1994, May Average, Dominican Republic, DOM
25.8404,1994, Jun Average, Dominican Republic, DOM
25.6275,1994, Jul Average, Dominican Republic, DOM
26.1182,1994, Aug Average, Dominican Republic, DOM
26.0427,1994, Sep Average, Dominican Republic, DOM
25.3739,1994, Oct Average, Dominican Republic, DOM
24.7115,1994, Nov Average, Dominican Republic, DOM
23.2933,1994, Dec Average, Dominican Republic, DOM
22.3469,1995, Jan Average, Dominican Republic, DOM
23.0187,1995, Feb Average, Dominican Republic, DOM
22.9724,1995, Mar Average, Dominican Republic, DOM
24.6886,1995, Apr Average, Dominican Republic, DOM
25.2863,1995, May Average, Dominican Republic, DOM
25.8498,1995, Jun Average, Dominican Republic, DOM
25.9233,1995, Jul Average, Dominican Republic, DOM
26.0933,1995, Aug Average, Dominican Republic, DOM
26.2193,1995, Sep Average, Dominican Republic, DOM
24.8808,1995, Oct Average, Dominican Republic, DOM
24.2936,1995, Nov Average, Dominican Republic, DOM
23.3405,1995, Dec Average, Dominican Republic, DOM
22.5598,1996, Jan Average, Dominican Republic, DOM
22.5083,1996, Feb Average, Dominican Republic, DOM
23.1613,1996, Mar Average, Dominican Republic, DOM
24.2659,1996, Apr Average, Dominican Republic, DOM
24.8638,1996, May Average, Dominican Republic, DOM
25.3993,1996, Jun Average, Dominican Republic, DOM
25.5131,1996, Jul Average, Dominican Republic, DOM
25.4138,1996, Aug Average, Dominican Republic, DOM
25.9221,1996, Sep Average, Dominican Republic, DOM
25.3278,1996, Oct Average, Dominican Republic, DOM
23.8925,1996, Nov Average, Dominican Republic, DOM
22.1069,1996, Dec Average, Dominican Republic, DOM
21.9059,1997, Jan Average, Dominican Republic, DOM
22.6297,1997, Feb Average, Dominican Republic, DOM
23.3114,1997, Mar Average, Dominican Republic, DOM
24.3227,1997, Apr Average, Dominican Republic, DOM
25.7024,1997, May Average, Dominican Republic, DOM
26.2422,1997, Jun Average, Dominican Republic, DOM
26.1017,1997, Jul Average, Dominican Republic, DOM
26.1992,1997, Aug Average, Dominican Republic, DOM
26.192,1997, Sep Average, Dominican Republic, DOM
25.3103,1997, Oct Average, Dominican Republic, DOM
24.9248,1997, Nov Average, Dominican Republic, DOM
24.3346,1997, Dec Average, Dominican Republic, DOM
23.2887,1998, Jan Average, Dominican Republic, DOM
23.2334,1998, Feb Average, Dominican Republic, DOM
23.6746,1998, Mar Average, Dominican Republic, DOM
24.4267,1998, Apr Average, Dominican Republic, DOM
24.9895,1998, May Average, Dominican Republic, DOM
26.2822,1998, Jun Average, Dominican Republic, DOM
26.3225,1998, Jul Average, Dominican Republic, DOM
26.3938,1998, Aug Average, Dominican Republic, DOM
26.0532,1998, Sep Average, Dominican Republic, DOM
25.6897,1998, Oct Average, Dominican Republic, DOM
24.5512,1998, Nov Average, Dominican Republic, DOM
